study_id,icd10_code
NCT05757414,G20
NCT04533789,G00-G99.9
NCT04533789,G93.9
NCT04533789,G96.9
NCT05422469,F99-F99.9
NCT05422469,F41.9
NCT05422469,F42
NCT00177203,G00-G99.9
NCT00177203,F99-F99.9
NCT00177203,G47.0
NCT04879199,G00-G99.9
NCT04879199,G93.9
NCT04879199,G96.9
NCT04732208,H44
NCT04732208,I51.6
NCT04732208,E14.8
NCT04732208,E10-E14.9
NCT04732208,E34.9
NCT04732208,H35.9
NCT04732208,H36.0
NCT06802107,M13.9
NCT06802107,M00-M25.9
NCT06802107,M79.0
NCT05726045,F99-F99.9
NCT06005987,E70-E90.9
NCT06005987,E34.9
NCT06005987,N00-N99.9
NCT06005987,O24.4
NCT06005987,O24
NCT06005987,E10-E14.9
NCT00000595,D58.9
NCT00000595,D55-D59.9
NCT00000595,D64.9
NCT00000595,E83.1
NCT00000595,E70-E90.9
NCT00000595,D56
NCT00000595,D56.1
NCT00000595,D75.9
NCT05762848,G93.9
NCT05762848,G96.9
NCT05762848,G00-G99.9
NCT05762848,G91
NCT06802692,N00-N99.9
NCT01396395,I51.6
NCT01396395,R07.4
NCT01396395,R52.9
NCT01396395,I51.9
NCT01396395,I20
NCT01396395,I20-I25.9
NCT04288583,G93.9
NCT04288583,G96.9
NCT04288583,G00-G99.9
NCT04288583,G31.9
NCT04288583,G20
NCT00393042,F99-F99.9
NCT00393042,G00-G99.9
NCT00393042,F90
NCT02632838,I51.6
NCT02632838,I10-I15.9
NCT03473548,G47.3
NCT03473548,J00-J99.9
NCT03473548,G00-G99.9
NCT05474521,T78.4
NCT05093842,N00-N99.9
NCT06146556,I49.9
NCT06146556,I51.9
NCT06146556,I51.6
NCT06146556,I45.9
NCT06146556,I49.3
NCT00005176,I49.9
NCT00005176,I45.9
NCT00005176,Q24.9
NCT00005176,Q89.9
NCT00005176,I51.6
NCT00005176,I51.9
NCT03678363,M00-M25.9
NCT03678363,M79.0
NCT03678363,M13.9
NCT03678363,M06.9
NCT04473378,C00-D48.9
NCT04473378,N60-N64.9
NCT04473378,E70-E90.9
NCT04473378,R73.9
NCT02086474,M13.9
NCT02086474,M00-M25.9
NCT02086474,M79.0
NCT02086474,M16
NCT06259630,F99-F99.9
NCT06661460,F99-F99.9
NCT06661460,F41.9
NCT06661460,F41.0
NCT06661460,F40.1
NCT06661460,F40.0
NCT06661460,F40
NCT05207072,I20-I25.9
NCT05207072,I51.9
NCT05207072,I51.6
NCT04912492,F99-F99.9
NCT06585839,F39
NCT06585839,F99-F99.9
NCT06585839,N00-N99.9
NCT06585839,F41.9
NCT06657508,E70-E90.9
NCT06657508,E34.9
NCT06657508,N39.9
NCT06657508,N00-N99.9
NCT06657508,N18
NCT06657508,E10-E14.9
NCT06307574,I51.6
NCT06307574,F99-F99.9
NCT06307574,I10-I15.9
NCT05619432,G00-G99.9
NCT05619432,H44
NCT06670677,I51.6
NCT06670677,I10-I15.9
NCT05360407,C00-D48.9
NCT05360407,N60-N64.9
NCT06614049,E70-E90.9
NCT06614049,E78.5
NCT06624514,Z72.1
NCT06624553,E70-E90.9
NCT06624553,E34.9
NCT06624553,E10-E14.9
NCT06624553,E11
NCT03537963,G00-G99.9
NCT03537963,F99-F99.9
NCT05370612,E10-E14.9
NCT05370612,E70-E90.9
NCT05370612,E34.9
NCT05370612,N00-N99.9
NCT05370612,O24
NCT05370612,E11
NCT04254484,I67.9
NCT04254484,G93.9
NCT04254484,G96.9
NCT04254484,G00-G99.9
NCT04254484,I51.6
NCT04254484,J00-J99.9
NCT04254484,G47.3
NCT04254484,I64
NCT03546738,R52.9
NCT03546738,M54
NCT02457715,C00-D48.9
NCT02457715,N00-N99.9
NCT02457715,G31.9
NCT02457715,G00-G99.9
NCT02457715,G70.9
NCT02457715,G95.9
NCT02457715,G96.9
NCT02457715,E70-E90.9
NCT02457715,N39.9
NCT02457715,G93.9
NCT02457715,G12.2
NCT06260865,F99-F99.9
NCT06260865,M00-M25.9
NCT06260865,F45
NCT04428645,E70-E90.9
NCT04428645,E34.9
NCT04428645,E10-E14.9
NCT04428645,E10
NCT06768528,I49.9
NCT06768528,I51.9
NCT06768528,I51.6
NCT06768528,I97.0
NCT04680533,R60.9
NCT02930460,G47.3
NCT02930460,J00-J99.9
NCT02930460,G00-G99.9
NCT05218876,C00-D48.9
NCT05218876,N60-N64.9
NCT01264809,E70-E90.9
NCT01264809,E34.9
NCT01264809,E10-E14.9
NCT01264809,E11
NCT03450980,G52.9
NCT03450980,G00-G99.9
NCT03450980,H44
NCT03450980,H50.9
NCT04899934,F99-F99.9
NCT04384822,G00-G99.9
NCT04384822,F99-F99.9
NCT04384822,G47.0
NCT05840250,E70-E90.9
NCT05840250,E34.9
NCT05840250,E10-E14.9
NCT02924415,F39
NCT02924415,F99-F99.9
NCT02924415,F31
NCT06174558,J00-J99.9
NCT06174558,G00-G99.9
NCT06174558,G47.3
NCT05521529,E27.9
NCT05521529,E34.9
NCT05521529,E24
NCT05012475,G00-G99.9
NCT05012475,F84.2
NCT06563284,A50-A64.9
NCT06563284,B34.9
NCT06563284,N00-N99.9
NCT06563284,D84.9
NCT06563284,B24
NCT04037371,E66
NCT05776641,F03
NCT05776641,G93.9
NCT05776641,G96.9
NCT05776641,G00-G99.9
NCT05776641,G31.9
NCT05776641,F99-F99.9
NCT05776641,G30
NCT05554159,C00-D48.9
NCT05554159,G93.9
NCT05554159,G96.9
NCT05554159,G00-G99.9
NCT05554159,F99-F99.9
NCT06485115,G00-G99.9
NCT06485115,G35
NCT03984643,G00-G99.9
NCT03984643,G96.9
NCT03984643,G25.0
NCT06296914,I49.9
NCT06296914,I51.9
NCT06296914,I51.6
NCT06296914,I45.9
NCT06296914,G90
NCT06296914,G00-G99.9
NCT06296914,R00.0
NCT02997891,M13.9
NCT02997891,M00-M25.9
NCT02997891,M79.0
NCT02997891,M16
NCT04652622,G00-G99.9
NCT04652622,F99-F99.9
NCT04652622,F05.9
NCT06159413,R52.9
NCT06159413,M54
NCT06159413,M54.5
NCT04125407,Q66
NCT04125407,Q74.9
NCT04125407,Q65-Q79.9
NCT04125407,Q89.9
NCT04889898,G31.9
NCT04889898,G00-G99.9
NCT04889898,G70.9
NCT04889898,G95.9
NCT04889898,G96.9
NCT04889898,E70-E90.9
NCT04889898,G12.2
NCT04378439,A50-A64.9
NCT04378439,B34.9
NCT04378439,N00-N99.9
NCT04378439,D84.9
NCT04378439,B24
NCT03585127,F99-F99.9
NCT03585127,G00-G99.9
NCT03585127,R44.3
NCT03585127,F20
NCT03776344,R52.9
NCT02761590,M13.9
NCT02761590,M00-M25.9
NCT02761590,M79.0
NCT06386874,I67.9
NCT06386874,G93.9
NCT06386874,G96.9
NCT06386874,G00-G99.9
NCT06386874,I51.6
NCT06386874,I64
NCT06386874,I63
NCT01141023,G93.9
NCT01141023,G96.9
NCT01141023,G00-G99.9
NCT01141023,G31.9
NCT01141023,G20
NCT01907139,I67.9
NCT01907139,G93.9
NCT01907139,G96.9
NCT01907139,G00-G99.9
NCT01907139,I51.6
NCT01907139,I64
NCT05108207,G00-G99.9
NCT05108207,F99-F99.9
NCT05108207,F05.9
NCT05244889,G93.9
NCT05244889,G96.9
NCT05244889,G00-G99.9
NCT05244889,F99-F99.9
NCT05244889,G43
NCT05244889,G47.0
NCT00294281,M60-M63.9
NCT00294281,M79.0
NCT00294281,G70.9
NCT00294281,G00-G99.9
NCT05658393,K70-K77.9
NCT05658393,K00-K93.9
NCT05067088,J00-J99.9
NCT05067088,G00-G99.9
NCT05067088,G47.3
NCT04947761,G00-G99.9
NCT04947761,F99-F99.9
NCT04947761,F05.9
NCT01032473,F99-F99.9
NCT01032473,G00-G99.9
NCT01032473,F41.9
NCT04872777,K70-K77.9
NCT04872777,K00-K93.9
NCT05353803,I51.9
NCT05353803,I51.6
NCT05353803,I50
NCT03472443,M60-M63.9
NCT03472443,M65.4
NCT06772181,C00-D48.9
NCT06772181,N60-N64.9
NCT06772181,D09.9
NCT06772181,D05
NCT04663061,E70-E90.9
NCT04663061,E34.9
NCT04663061,E10-E14.9
NCT04389372,G93.9
NCT04389372,G96.9
NCT04389372,G00-G99.9
NCT04389372,R52.9
NCT04389372,F99-F99.9
NCT04389372,G43
NCT04389372,R51
NCT04243629,E70-E90.9
NCT04243629,E34.9
NCT04243629,E10-E14.9
NCT04243629,E10
NCT04243629,R73.9
NCT02427854,N00-N99.9
NCT02402959,G00-G99.9
NCT02402959,F99-F99.9
NCT02402959,G47.0
NCT01291862,G47.3
NCT01291862,J00-J99.9
NCT01291862,G00-G99.9
NCT01291862,H35.9
NCT01291862,H44
NCT01291862,I51.6
NCT03883126,F99-F99.9
NCT03883126,F10.2
NCT03679559,C00-D48.9
NCT03679559,N60-N64.9
NCT00376714,J44.9
NCT06627881,G95.9
NCT06627881,G96.9
NCT06627881,G00-G99.9
NCT06627881,T09.3
NCT05051644,R52.9
NCT05051644,F99-F99.9
NCT01072565,E10-E14.9
NCT01072565,E70-E90.9
NCT01072565,E34.9
NCT01072565,E11
NCT02755792,F99-F99.9
NCT02910921,R52.9
NCT02910921,G43
NCT02910921,G00-G99.9
NCT02910921,G93.9
NCT02910921,G96.9
NCT02910921,R51
NCT03819907,M54
NCT03819907,R52.9
NCT03819907,M54.5
NCT03567122,M60-M63.9
NCT03567122,G00-G99.9
NCT02720276,I67.9
NCT02720276,G93.9
NCT02720276,G96.9
NCT02720276,G00-G99.9
NCT02720276,I51.6
NCT02720276,I64
NCT06287996,I51.9
NCT06287996,I51.6
NCT06287996,I50
NCT02309463,I51.6
NCT02309463,I10-I15.9
NCT05338918,I67.9
NCT05338918,G93.9
NCT05338918,G96.9
NCT05338918,G00-G99.9
NCT05338918,I51.6
NCT05338918,I64
NCT05581849,M60-M63.9
NCT05581849,M79.0
NCT05581849,G70.9
NCT05581849,G00-G99.9
NCT04325464,G00-G99.9
NCT04325464,F99-F99.9
NCT04325464,G47.0
NCT02241889,E10-E14.9
NCT02241889,E70-E90.9
NCT02241889,E34.9
NCT02241889,E10
NCT03301662,I67.9
NCT03301662,G93.9
NCT03301662,G96.9
NCT03301662,G00-G99.9
NCT03301662,I51.6
NCT03301662,I49.9
NCT03301662,I51.9
NCT03301662,I64
NCT06112639,F99-F99.9
NCT06112639,G00-G99.9
NCT06112639,G35
NCT01960452,G00-G99.9
NCT01960452,F99-F99.9
NCT01960452,G47.0
NCT05664308,I49.9
NCT05664308,I51.9
NCT05664308,I51.6
NCT05378139,I51.6
NCT05378139,I51.9
NCT05378139,D75.9
NCT02048748,I51.9
NCT02048748,I51.6
NCT02048748,I50
NCT04759183,C00-D48.9
NCT02686190,F03
NCT02686190,G93.9
NCT02686190,G96.9
NCT02686190,G00-G99.9
NCT02686190,G31.9
NCT02686190,F99-F99.9
NCT02686190,G30
NCT03528395,I67.9
NCT03528395,G93.9
NCT03528395,G96.9
NCT03528395,G00-G99.9
NCT03528395,I51.6
NCT03528395,I64
NCT05438238,N00-N99.9
NCT05438238,R52.9
NCT05438238,R52.0
NCT05738005,E70-E90.9
NCT05738005,E85
NCT06483997,C00-D48.9
NCT06483997,N00-N99.9
NCT05488951,G93.9
NCT05488951,G96.9
NCT05488951,G00-G99.9
NCT05488951,F99-F99.9
NCT05488951,F03
NCT02675764,I67.9
NCT02675764,G93.9
NCT02675764,G96.9
NCT02675764,G00-G99.9
NCT02675764,I51.6
NCT02675764,I64
NCT03800654,R52.9
NCT02441985,G00-G99.9
NCT02441985,R25.1
NCT05878132,I67.9
NCT05878132,G93.9
NCT05878132,G96.9
NCT05878132,G00-G99.9
NCT05878132,I51.6
NCT05878132,I64
NCT05849532,I67.9
NCT05849532,G93.9
NCT05849532,G96.9
NCT05849532,G00-G99.9
NCT05849532,I51.6
NCT05849532,I64
NCT03215641,E66
NCT04194489,N00-N99.9
NCT05897242,F99-F99.9
NCT06788665,C00-D48.9
NCT04529603,C00-D48.9
NCT04119375,A31.9
NCT04119375,A49.9
NCT04119375,A15-A19.9
NCT06219863,G00-G99.9
NCT06219863,Q89.9
NCT06219863,Q99.9
NCT06219863,Q90
NCT01767831,E70-E90.9
NCT01767831,E34.9
NCT01767831,E10-E14.9
NCT01767831,E10
NCT04982523,F99-F99.9
NCT04982523,F43.1
NCT06560450,I67.9
NCT06560450,G93.9
NCT06560450,G96.9
NCT06560450,G00-G99.9
NCT06560450,I51.6
NCT06560450,I64
NCT04328025,N00-N99.9
NCT04328025,A50-A64.9
NCT02815085,I51.9
NCT02815085,I51.6
NCT02815085,I50
NCT06768749,F99-F99.9
NCT06768749,F39
NCT06768749,G00-G99.9
NCT06768749,F41.9
NCT06767852,I20-I25.9
NCT06767852,I51.9
NCT06767852,I51.6
NCT03197948,C00-D48.9
NCT03197948,N50.9
NCT03197948,N00-N99.9
NCT03197948,N42.9
NCT03079024,F39
NCT03079024,F20
NCT03079024,F31
NCT03079024,F99-F99.9
NCT04115930,G00-G99.9
NCT04115930,G35
NCT03722082,F39
NCT03722082,F99-F99.9
NCT02727192,I49.9
NCT02727192,I51.9
NCT02727192,I51.6
NCT02727192,J00-J99.9
NCT02727192,G00-G99.9
NCT02727192,G47.3
NCT03970889,E10-E14.9
NCT03970889,E70-E90.9
NCT03970889,E34.9
NCT03970889,E10
NCT05399199,I51.6
NCT05399199,Q89.9
NCT05682417,F99-F99.9
NCT05682417,R63.0
NCT05682417,F50.0
NCT03475433,N60-N64.9
NCT03475433,N50.9
NCT03475433,N00-N99.9
NCT03475433,N42.9
NCT03475433,C00-D48.9
NCT06164457,I51.9
NCT06164457,I51.6
NCT06164457,I20-I25.9
NCT06408012,F99-F99.9
NCT06408012,F39
NCT06766175,J00-J99.9
NCT06766175,R05
NCT05674890,H44
NCT05674890,H40
NCT05757830,G00-G99.9
NCT05757830,G95.9
NCT05757830,G96.9
NCT05757830,G93.9
NCT05757830,S00-S09.9
NCT05757830,G35
NCT05757830,T09.3
NCT03307928,I51.6
NCT03307928,J00-J99.9
NCT03307928,G00-G99.9
NCT03307928,G47.3
NCT03307928,I10-I15.9
NCT03600675,E70-E90.9
NCT03600675,M89.9
NCT03600675,M81.9
NCT03917992,I49.9
NCT03917992,I51.9
NCT03917992,I51.6
NCT06235658,I51.6
NCT05377021,C00-D48.9
NCT05377021,N00-N99.9
NCT05377021,E34.9
NCT05377021,E28.2
NCT06568081,F20
NCT06568081,F99-F99.9
NCT06789718,G00-G99.9
NCT06789718,F99-F99.9
NCT03699995,C00-D48.9
NCT03699995,D22
NCT03458806,I51.6
NCT03458806,I35.9
NCT03458806,I51.9
NCT03458806,I34.0
NCT03458806,I35.0
NCT03458806,R01.1
NCT06311084,F99-F99.9
NCT04607902,F39
NCT04607902,F99-F99.9
NCT02898233,F39
NCT02898233,F99-F99.9
NCT05443373,G00-G99.9
NCT05443373,F99-F99.9
NCT05443373,G47.1
NCT04838561,E10-E14.9
NCT04838561,E70-E90.9
NCT04838561,E34.9
NCT04838561,E10
NCT06067126,E70-E90.9
NCT02517424,F99-F99.9
NCT02517424,F43.1
NCT01819025,F39
NCT01819025,F99-F99.9
NCT06337864,G96.9
NCT06337864,G00-G99.9
NCT06337864,G93.9
NCT06337864,E72.9
NCT06337864,E70-E90.9
NCT06293183,N39.9
NCT06293183,N00-N99.9
NCT03982316,G93.9
NCT03982316,G96.9
NCT03982316,G00-G99.9
NCT03982316,G43
NCT04414280,E70-E90.9
NCT04414280,E34.9
NCT04414280,E10-E14.9
NCT04414280,E10
NCT05556148,B34.9
NCT05556148,J00
NCT04369833,E34.9
NCT04369833,E10-E14.9
NCT04369833,E70-E90.9
NCT02350257,F99-F99.9
NCT02350257,F41.9
NCT04186286,I49.9
NCT04186286,I51.9
NCT04186286,I51.6
NCT04186286,I45.9
NCT04186286,G90
NCT04186286,G00-G99.9
NCT04186286,R00.0
NCT03136718,H93.9
NCT03136718,G00-G99.9
NCT03136718,H91.9
NCT05856955,I51.6
NCT05856955,I10-I15.9
NCT01401296,F39
NCT01401296,F99-F99.9
NCT06403475,I67.9
NCT06403475,G93.9
NCT06403475,G96.9
NCT06403475,G00-G99.9
NCT06403475,I51.6
NCT06403475,I64
NCT05847010,G00-G99.9
NCT05847010,F99-F99.9
NCT05847010,F05.9
NCT05959265,C00-D48.9
NCT01429467,E70-E90.9
NCT01429467,E34.9
NCT01429467,E10-E14.9
NCT01429467,E10
NCT05680961,G93.9
NCT05680961,G96.9
NCT05680961,G00-G99.9
NCT05680961,G31.9
NCT05680961,G20
NCT02862080,G95.9
NCT02862080,G96.9
NCT02862080,G00-G99.9
NCT02862080,T09.3
NCT04889976,F39
NCT04889976,F99-F99.9
NCT05167383,R52.9
NCT02341690,E70-E90.9
NCT02341690,E34.9
NCT02341690,E10-E14.9
NCT02341690,E11
NCT02320903,F99-F99.9
NCT05479669,I51.9
NCT05479669,I51.6
NCT05479669,I50
NCT04869020,H81.9
NCT04869020,H93.9
NCT04869020,G00-G99.9
NCT03088462,F39
NCT03088462,F99-F99.9
NCT03088462,F31
NCT03663738,E70-E90.9
NCT03663738,E34.9
NCT03663738,E10-E14.9
NCT03663738,E11
NCT03528174,E10-E14.9
NCT03528174,E70-E90.9
NCT03528174,E34.9
NCT03528174,E10
NCT05622461,G93.9
NCT05622461,G96.9
NCT05622461,G00-G99.9
NCT05622461,I67.9
NCT05622461,I51.6
NCT05622461,S00-S09.9
NCT05622461,R60.9
NCT06312800,G00-G99.9
NCT06312800,G96.9
NCT06312800,R25.1
NCT06312800,G25.0
NCT05699538,J12.9
NCT05699538,J18.9
NCT05699538,B34.9
NCT05699538,B34.2
NCT06789822,F39
NCT06789822,F99-F99.9
NCT05901337,J12.9
NCT05901337,J18.9
NCT05901337,B34.9
NCT05901337,B34.2
NCT06788184,H93.9
NCT06788184,G93.9
NCT06788184,G96.9
NCT06788184,G00-G99.9
NCT06788184,F99-F99.9
NCT04604977,R52.9
NCT04604977,R51
NCT06569550,G00-G99.9
NCT06569550,G35
NCT05838625,F99-F99.9
NCT05838625,F20
NCT05789212,G00-G99.9
NCT05789212,F99-F99.9
NCT05651698,I51.9
NCT05651698,I51.6
NCT05651698,I50
NCT03276767,F99-F99.9
NCT04609683,I51.9
NCT04609683,I51.6
NCT04609683,I50
NCT04609683,I49.9
NCT04276441,I49.9
NCT04276441,I51.9
NCT04276441,I51.6
NCT05775627,G00-G99.9
NCT05775627,F99-F99.9
NCT05775627,R73.9
NCT05775627,E70-E90.9
NCT05394363,Q89.9
NCT02232204,I51.9
NCT02232204,I51.6
NCT02232204,I49.9
NCT04196140,E10-E14.9
NCT04196140,E70-E90.9
NCT04196140,E34.9
NCT04196140,E10
NCT01889199,C00-D48.9
NCT01889199,N00-N99.9
NCT01889199,E34.9
NCT01889199,Q89.9
NCT01889199,E28.2
NCT05743517,C00-D48.9
NCT05743517,N00-N99.9
NCT05743517,E34.9
NCT03066479,G47.3
NCT03066479,J00-J99.9
NCT03066479,G00-G99.9
NCT06206343,R52.9
NCT06206343,M54.2
NCT04887558,F99-F99.9
NCT03336788,F39
NCT03336788,F99-F99.9
NCT05958940,F39
NCT05958940,F99-F99.9
NCT05958940,F31
NCT03821779,F99-F99.9
NCT03821779,F40
NCT03821779,F41.9
NCT03821779,F40.1
NCT04410536,R52.9
NCT04410536,F99-F99.9
NCT04410536,G93.9
NCT04410536,G96.9
NCT04410536,G00-G99.9
NCT04410536,G43
NCT04410536,R51
NCT03490240,G00-G99.9
NCT03490240,G35
NCT04940156,I49.9
NCT04940156,I51.9
NCT04940156,I51.6
NCT06074328,G93.9
NCT06074328,G96.9
NCT06074328,G00-G99.9
NCT06074328,S00-S09.9
NCT02672176,E70-E90.9
NCT02672176,E34.9
NCT02672176,E10-E14.9
NCT06046352,I49.9
NCT06046352,I51.9
NCT06046352,I51.6
NCT06046352,I45.9
NCT06046352,R00.0
NCT06046352,I47.1
NCT06046352,I47.2
NCT06315660,F99-F99.9
NCT06315660,F40
NCT06315660,F41.9
NCT06315660,F40.1
NCT06315660,F40.0
NCT03062215,F39
NCT03062215,F99-F99.9
NCT03286699,C00-D48.9
NCT03900962,E66
NCT03850912,C00-D48.9
NCT03850912,K00-K93.9
NCT03489057,C00-D48.9
NCT03489057,N50.9
NCT03489057,N00-N99.9
NCT03489057,N42.9
NCT03599661,C00-D48.9
NCT00548587,I20-I25.9
NCT00548587,I51.9
NCT00548587,I51.6
NCT05073419,I20-I25.9
NCT05073419,I51.9
NCT05073419,I51.6
NCT03077022,M00-M25.9
NCT06390267,F99-F99.9
NCT06390267,F43.0
NCT04797208,E70-E90.9
NCT04797208,E34.9
NCT04797208,E10-E14.9
NCT04797208,E11
NCT04797208,E16.2
NCT04797208,R73.9
NCT05687097,J00-J99.9
NCT05687097,G00-G99.9
NCT05687097,G95.9
NCT05687097,G96.9
NCT05687097,G70.9
NCT05687097,R52.9
NCT05687097,M60-M63.9
NCT05687097,G47.3
NCT05687097,T09.3
NCT05633186,F39
NCT05633186,F99-F99.9
NCT04306601,G93.9
NCT04306601,G96.9
NCT04306601,G00-G99.9
NCT04306601,S00-S09.9
NCT04306601,F99-F99.9
NCT03211806,C00-D48.9
NCT03211806,K00-K93.9
NCT03211806,K63.9
NCT05285358,C00-D48.9
NCT05285358,K83.9
NCT05285358,K00-K93.9
NCT05285358,K82.9
NCT05171725,F03
NCT05171725,G96.9
NCT05171725,G00-G99.9
NCT05171725,G31.9
NCT05171725,F99-F99.9
NCT05171725,G30
NCT05171725,G93.9
NCT02548624,L89
NCT01840878,K57
NCT01840878,K00-K93.9
NCT02975180,G93.9
NCT02975180,G96.9
NCT02975180,G00-G99.9
NCT06788301,F99-F99.9
NCT06788301,F41.9
NCT06219629,G93.9
NCT06219629,G96.9
NCT06219629,G00-G99.9
NCT06219629,G31.9
NCT06219629,G20
NCT05830721,M60-M63.9
NCT05830721,I51.6
NCT05830721,I70
NCT05830721,I73.9
NCT03434639,K00-K93.9
NCT03434639,K63.9
NCT03434639,K90.9
NCT03434639,E70-E90.9
NCT03434639,K70-K77.9
NCT03434639,K90.0
NCT04054258,I51.6
NCT04054258,I51.9
NCT04054258,I20-I25.9
NCT06767098,R52.9
NCT06767098,M54.2
NCT00949884,I51.6
NCT00949884,I10-I15.9
NCT02753244,G93.9
NCT02753244,G96.9
NCT02753244,G00-G99.9
NCT02753244,S00-S09.9
NCT02879240,J00-J99.9
NCT03764280,E70-E90.9
NCT03764280,E34.9
NCT03764280,E10-E14.9
NCT03764280,E10
NCT06382038,I51.6
NCT06382038,I26
NCT01234597,E70-E90.9
NCT01234597,E34.9
NCT01234597,E10-E14.9
NCT01234597,E11
NCT06119230,I67.9
NCT06119230,G93.9
NCT06119230,G96.9
NCT06119230,G00-G99.9
NCT06119230,I51.6
NCT06119230,I64
NCT03963661,G93.9
NCT03963661,G96.9
NCT03963661,G00-G99.9
NCT03963661,S00-S09.9
NCT04388787,G00-G99.9
NCT04388787,G93.9
NCT04388787,G96.9
NCT02512328,C00-D48.9
NCT02512328,K00-K93.9
NCT04664101,J12.9
NCT04664101,J18.9
NCT04664101,B34.9
NCT04664101,B34.2
NCT05279222,Q89.9
NCT05279222,Q74.9
NCT05279222,Q65-Q79.9
NCT05279222,Q66
NCT02542540,Q78.9
NCT02542540,M89.9
NCT02542540,Q78.0
NCT04823312,E10-E14.9
NCT04823312,E70-E90.9
NCT04823312,E34.9
NCT04823312,E10
NCT02694133,G00-G99.9
NCT04182555,P59.9
NCT04182555,R17
NCT02840266,H93.9
NCT02840266,G00-G99.9
NCT02840266,H91.9
NCT06185049,F99-F99.9
NCT06185049,F41.9
NCT03849755,E10-E14.9
NCT03849755,E70-E90.9
NCT03849755,E34.9
NCT03849755,E10
NCT04360460,G00-G99.9
NCT04360460,G93.9
NCT04360460,G96.9
NCT04360460,I51.6
NCT04360460,I67.9
NCT02931630,E70-E90.9
NCT02931630,E66
NCT02931630,I51.6
NCT02046863,G93.9
NCT02046863,G96.9
NCT02046863,G00-G99.9
NCT02046863,G31.9
NCT02046863,G20
NCT02046863,R25.1
NCT03246503,P59.9
NCT03246503,R17
NCT05278403,I67.9
NCT05278403,G93.9
NCT05278403,G96.9
NCT05278403,G00-G99.9
NCT05278403,I51.6
NCT05278403,I64
NCT03773653,I67.9
NCT03773653,G93.9
NCT03773653,G96.9
NCT03773653,G00-G99.9
NCT03773653,I51.6
NCT03773653,I64
NCT06291766,E70-E90.9
NCT06291766,E34.9
NCT06291766,N00-N99.9
NCT06291766,O24.4
NCT06291766,O24
NCT06291766,E10-E14.9
NCT03521362,E70-E90.9
NCT03521362,E34.9
NCT03521362,E10-E14.9
NCT03521362,E10
NCT02592447,C95
NCT02592447,C00-D48.9
NCT02592447,D75.9
NCT02592447,C92
NCT02592447,C92.1
NCT03621046,G93.9
NCT03621046,G96.9
NCT03621046,G00-G99.9
NCT03621046,G31.9
NCT03621046,G20
NCT03335800,I51.9
NCT03335800,I51.6
NCT03335800,I49.9
NCT01207856,G00-G99.9
NCT01207856,G35
NCT05375500,M54
NCT05375500,R52.9
NCT05375500,M25.5
NCT05375500,M00-M25.9
NCT05375500,M54.5
NCT00869869,I51.9
NCT00869869,I51.6
NCT00869869,G00-G99.9
NCT00869869,F99-F99.9
NCT00869869,I50
NCT06365645,F39
NCT06365645,F99-F99.9
NCT06365645,N00-N99.9
NCT03065647,I51.9
NCT03065647,I51.6
NCT03065647,I46
NCT01916694,O24.4
NCT01916694,E10-E14.9
NCT01916694,E70-E90.9
NCT01916694,E34.9
NCT01916694,N00-N99.9
NCT03643731,M54
NCT03643731,M54.5
NCT03643731,R52.9
NCT05032963,F20
NCT05032963,F99-F99.9
NCT02937480,I67.9
NCT02937480,G93.9
NCT02937480,G96.9
NCT02937480,G00-G99.9
NCT02937480,I51.6
NCT02937480,I64
NCT04892940,M45-M49.9
NCT04892940,M89.9
NCT04892940,M41.9
NCT03189212,N39.9
NCT03189212,N00-N99.9
NCT03189212,N18
NCT03132545,C00-D48.9
NCT03132545,N00-N99.9
NCT03132545,E34.9
NCT03132545,E28.2
NCT06086951,F99-F99.9
NCT06086951,G00-G99.9
NCT06086951,F90
NCT04124354,E10-E14.9
NCT04124354,E70-E90.9
NCT04124354,E34.9
NCT04124354,R73.9
NCT02958176,F99-F99.9
NCT02958176,N00-N99.9
NCT05362708,F99-F99.9
NCT04669431,I67.9
NCT04669431,G93.9
NCT04669431,G96.9
NCT04669431,G00-G99.9
NCT04669431,I51.6
NCT04669431,I64
NCT05070013,G93.9
NCT05070013,G96.9
NCT05070013,G00-G99.9
NCT05070013,G31.9
NCT05070013,F99-F99.9
NCT05070013,G20
NCT02786953,E70-E90.9
NCT02786953,E34.9
NCT02786953,E10-E14.9
NCT02786953,E10
NCT05886725,G00-G99.9
NCT04721145,E70-E90.9
NCT04721145,E34.9
NCT04721145,E10-E14.9
NCT04721145,E10
NCT04721145,E16.2
NCT04721145,R73.9
NCT03808233,G00-G99.9
NCT03808233,G95.9
NCT03808233,G96.9
NCT03808233,G12.2
NCT03808233,G31.9
NCT03808233,G70.9
NCT03808233,G12.9
NCT05821517,M00-M25.9
NCT05821517,S43.0
NCT04100109,E66
NCT02763774,I51.9
NCT02763774,I51.6
NCT03255460,G00-G99.9
NCT03255460,G35
NCT04330547,G93.9
NCT04330547,G96.9
NCT04330547,G00-G99.9
NCT04330547,S00-S09.9
NCT04330547,F99-F99.9
NCT05696197,G93.9
NCT05696197,G96.9
NCT05696197,G00-G99.9
NCT05696197,G31.9
NCT05696197,G20
NCT01412814,M13.9
NCT01412814,M00-M25.9
NCT01412814,M79.0
NCT05648903,E70-E90.9
NCT05648903,E34.9
NCT05648903,E10-E14.9
NCT05648903,E11
NCT05606601,F99-F99.9
NCT05606601,Z72.1
